tract,incident
1.1,260
2,292
5,202
6,308
7,245
8,386
9,259
10,416
11,173
14.02,43
15,227
16,216
17,162
19,188
23,292
24,515
25.02,92
27.02,206
28,211
29,272
30,205
31,197
33.01,218
33.02,296
34,302
35,356
36,227
37,332
38,225
39.01,44
40.01,556
41,331
42,298
43,424
44.01,275
44.02,36
45,333
46.01,190
47,317
48,346
49,457
50,196
51,272
52.01,184
52.02,106
53,39
54,163
55,354
56,235
57,224
58.01,122
58.02,253
59,348
61,456
63.01,264
63.02,112
65.01,180
66.01,168
66.02,62
67.01,190
67.02,47
68,189
69.01,301
69.02,202
70,217
71.01,174
71.02,74
72.02,1
163,257
164,157
165,72
166,333
167,188
168,345
169,128
170,258
171,577